Год;Месяц;Канал;Бренд;Диапазон веса;Сумма (в 1000);Штуки (в 1000 шт);Штуки (в шт);Точки;Офтейк (штук на точку);Цена за штуку;Средний вес;Цена за грамм; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2021;4;Minimarkets;Black;400-599G;79,83;0,70;703;461;2;113,55;499,5;0,23;;;;;;;;;;;;;;
2021;4;Minimarkets;Magenta;300-349G;300,15;3,36;3360;3115;1;89,34;324,5;0,28;;;;;;;;;;;;;;
2021;4;Minimarkets;White;<200G;133,12;1,45;1449;245;6;91,86;200;0,46;;;;;;;;;;;;;;
2021;4;Minimarkets;Red;350-399G;112,22;0,68;677;223;3;165,72;374,5;0,44;;;;;;;;;;;;;;
2021;4;Minimarkets;Golden;350-399G;93,81;1,03;1027;525;2;91,35;374,5;0,24;;;;;;;;;;;;;;
2021;4;Minimarkets;Rosy;350-399G;73,02;0,96;962;1165;1;75,94;374,5;0,20;;;;;;;;;;;;;;
2021;4;Minimarkets;Moderate;350-399G;66,83;0,34;336;1;336;198,97;374,5;0,53;;;;;;;;;;;;;;
2021;4;Supermarkets;Green;200-249G;5 634,59;85,81;85811;11675;7;65,66;224,5;0,29;;;;;;;;;;;;;;
2021;4;Supermarkets;Green;350-399G;13 515,36;143,62;143618;15822;9;94,11;374,5;0,25;;;;;;;;;;;;;;
2021;4;Supermarkets;Green;400-599G;921,75;6,14;6145;644;10;150,01;499,5;0,30;;;;;;;;;;;;;;
2021;4;Supermarkets;Green;600-899G;0,77;0,00;4;2;2;208,02;749,5;0,28;;;;;;;;;;;;;;
2021;4;Supermarkets;Blue;200-249G;130,73;1,22;1216;191;6;107,52;224,5;0,48;;;;;;;;;;;;;;
2021;4;Supermarkets;Blue;400-599G;4 574,94;20,35;20354;1774;11;224,77;499,5;0,45;;;;;;;;;;;;;;
2021;4;Supermarkets;Yellow;350-399G;2 209,36;35,15;35148;1975;18;62,86;374,5;0,17;;;;;;;;;;;;;;
2021;4;Supermarkets;Deep;<200G;590,08;1,94;1936;117;17;304,74;200;1,52;;;;;;;;;;;;;;
2021;4;Supermarkets;Deep;350-399G;11,35;0,03;31;7;4;369,56;374,5;0,99;;;;;;;;;;;;;;
2021;4;Supermarkets;Deep;400-599G;36,27;0,07;73;49;1;497,54;499,5;1,00;;;;;;;;;;;;;;
2021;4;Supermarkets;Black;200-249G;96,49;2,08;2075;421;5;46,50;224,5;0,21;;;;;;;;;;;;;;
2021;4;Supermarkets;Black;400-599G;375,00;3,19;3194;1777;2;117,41;499,5;0,24;;;;;;;;;;;;;;
2021;4;Supermarkets;Magenta;300-349G;458,18;5,14;5139;3919;1;89,16;324,5;0,27;;;;;;;;;;;;;;
2021;4;Supermarkets;Red;350-399G;283,17;1,52;1524;211;7;185,79;374,5;0,50;;;;;;;;;;;;;;
